,x,y,z,bin,gc_content_percentage
121,0.4421,0.1806,-0.7297,60500000,39.5
122,0.4666,0.1448,-0.7143,61000000,39.73
123,0.4015,0.1315,-0.7076,61500000,40.24
124,0.3758,0.0909,-0.7049,62000000,43.32
125,0.3584,0.0615,-0.7086,62500000,38.09
126,0.2852,0.09,-0.764,63000000,39.74
127,0.3029,0.0699,-0.7937,63500000,40.97
128,0.2738,0.0473,-0.781,64000000,40.84
129,0.2925,0.0009,-0.7781,64500000,40.41
130,0.3156,-0.0304,-0.7628,65000000,41.19
131,0.2756,-0.0341,-0.7431,65500000,37.31
132,0.2499,-0.0258,-0.6908,66000000,38.23
133,0.2984,-0.0379,-0.6567,66500000,37.3
134,0.3266,-0.0365,-0.6044,67000000,40.31
135,0.413,-0.0551,-0.5642,67500000,41.49
136,0.4673,-0.0728,-0.4803,68000000,39.93
137,0.4851,-0.0601,-0.4542,68500000,37.43
138,0.5058,-0.0651,-0.5097,69000000,36.8
139,0.5081,-0.0461,-0.4834,69500000,35.55
140,0.5429,-0.0724,-0.4066,70000000,37.35
141,0.594,-0.0741,-0.4,70500000,37.87
142,0.6142,-0.0867,-0.4373,71000000,36.73
143,0.5975,-0.0979,-0.4575,71500000,35.59
144,0.6442,-0.1082,-0.4129,72000000,34.4
145,0.651,-0.1264,-0.3788,72500000,35.13
146,0.6289,-0.1104,-0.3635,73000000,34.92
147,0.5949,-0.1311,-0.3733,73500000,35.46
148,0.5979,-0.1495,-0.4033,74000000,35.49
149,0.5799,-0.1649,-0.4344,74500000,37.41
150,0.5896,-0.1591,-0.4958,75000000,37.37
151,0.6328,-0.1496,-0.5256,75500000,37.88
152,0.6088,-0.1451,-0.5429,76000000,39.11
153,0.5692,-0.1408,-0.5933,76500000,38.25
154,0.4869,-0.1386,-0.6339,77000000,38.3
155,0.509,-0.1794,-0.6832,77500000,39.33
156,0.5737,-0.2119,-0.6895,78000000,38.41
157,0.6153,-0.23,-0.6676,78500000,36.05
158,0.6338,-0.2256,-0.6219,79000000,35.71
159,0.658,-0.2531,-0.6161,79500000,35.67
160,0.6619,-0.2786,-0.6059,80000000,35.08
161,0.6445,-0.2853,-0.652,80500000,35.0
162,0.6026,-0.3003,-0.664,81000000,36.6
163,0.6059,-0.3158,-0.6233,81500000,36.68
164,0.6166,-0.3188,-0.5895,82000000,37.26
165,0.5873,-0.3095,-0.583,82500000,35.97
166,0.545,-0.301,-0.6331,83000000,36.74
167,0.4669,-0.2889,-0.6849,83500000,38.02
168,0.4343,-0.2765,-0.7065,84000000,37.55
169,0.3484,-0.2484,-0.6859,84500000,40.27
170,0.3333,-0.2665,-0.6554,85000000,39.49
171,0.3786,-0.2866,-0.6262,85500000,37.94
172,0.3746,-0.2808,-0.5852,86000000,37.56
173,0.4305,-0.297,-0.5464,86500000,38.76
174,0.4617,-0.2906,-0.5089,87000000,40.16
175,0.4709,-0.2816,-0.4716,87500000,38.3
176,0.4248,-0.2819,-0.4723,88000000,37.35
177,0.4154,-0.2611,-0.4122,88500000,38.15
178,0.3699,-0.2867,-0.4533,89000000,39.01
179,0.3675,-0.2762,-0.3973,89500000,40.42
180,0.3409,-0.2949,-0.4104,90000000,38.25
181,0.3223,-0.3185,-0.4572,90500000,38.91
182,0.2697,-0.3414,-0.5323,91000000,39.55
183,0.2245,-0.3391,-0.5504,91500000,42.03
184,0.1542,-0.3066,-0.5704,92000000,39.48
185,0.0953,-0.2921,-0.5785,92500000,39.19
186,0.0688,-0.309,-0.5818,93000000,38.7
187,0.1007,-0.3538,-0.5688,93500000,42.57
188,0.1979,-0.4046,-0.5567,94000000,40.98
189,0.3449,-0.427,-0.476,94500000,42.39
190,0.4175,-0.4399,-0.4419,95000000,39.36
191,0.3934,-0.4912,-0.4866,95500000,37.17
192,0.3644,-0.512,-0.5202,96000000,37.18
193,0.3348,-0.5266,-0.5216,96500000,37.47
194,0.325,-0.514,-0.5483,97000000,36.1
195,0.3638,-0.5091,-0.5542,97500000,34.46
196,0.432,-0.5166,-0.5028,98000000,35.91
197,0.4584,-0.5223,-0.464,98500000,36.7
198,0.4102,-0.5426,-0.4625,99000000,37.0
199,0.3695,-0.5122,-0.4369,99500000,38.46
200,0.4084,-0.4988,-0.4228,100000000,38.47
201,0.4723,-0.4702,-0.3849,100500000,37.83
202,0.5217,-0.4283,-0.343,101000000,38.83
203,0.562,-0.4267,-0.3329,101500000,35.65
204,0.5303,-0.4641,-0.3598,102000000,34.7
205,0.4988,-0.4815,-0.343,102500000,34.91
206,0.5392,-0.4471,-0.3086,103000000,34.37
207,0.5351,-0.3862,-0.291,103500000,34.96
208,0.559,-0.4136,-0.2722,104000000,35.55
209,0.5534,-0.38,-0.2594,104500000,34.74
210,0.5333,-0.4273,-0.2491,105000000,34.15
211,0.525,-0.3967,-0.2228,105500000,34.58
212,0.4902,-0.3778,-0.235,106000000,35.02
213,0.4751,-0.4152,-0.2321,106500000,35.91
214,0.4357,-0.4042,-0.2402,107000000,37.5
215,0.3902,-0.3882,-0.2631,107500000,38.34
216,0.3047,-0.3603,-0.3112,108000000,39.93
217,0.1819,-0.2961,-0.3433,108500000,40.14
218,0.1377,-0.3102,-0.334,109000000,45.76
219,0.2049,-0.3404,-0.2703,109500000,46.57
220,0.2828,-0.3405,-0.225,110000000,47.51
221,0.2673,-0.3772,-0.2169,110500000,41.38
222,0.2361,-0.4107,-0.2279,111000000,40.32
223,0.2107,-0.4248,-0.2505,111500000,44.15
224,0.1447,-0.4546,-0.2988,112000000,42.57
225,0.1634,-0.5023,-0.303,112500000,44.21
226,0.1573,-0.5306,-0.2968,113000000,40.91
227,0.1927,-0.5476,-0.2628,113500000,38.97
228,0.2354,-0.5509,-0.2652,114000000,42.77
229,0.2498,-0.5823,-0.2558,114500000,38.49
230,0.2731,-0.5764,-0.2185,115000000,42.17
231,0.2956,-0.5484,-0.1923,115500000,41.31
232,0.2566,-0.5418,-0.1703,116000000,42.12
233,0.2851,-0.5153,-0.1471,116500000,44.02
234,0.2969,-0.4709,-0.1432,117000000,40.23
235,0.3306,-0.425,-0.1317,117500000,40.9
236,0.3294,-0.3912,-0.123,118000000,37.63
237,0.2794,-0.4063,-0.1311,118500000,38.42
238,0.1728,-0.3765,-0.1519,119000000,40.93
239,0.0875,-0.3186,-0.1349,119500000,42.34
240,0.1753,-0.2817,-0.0974,120000000,40.68
241,0.1756,-0.2337,-0.0689,120500000,40.55
242,0.0873,-0.1689,0.0223,121000000,41.15
243,0.0506,-0.2164,0.0729,121500000,38.89
244,0.0169,-0.2098,0.0155,122000000,39.6
245,-0.0025,-0.2877,-0.0786,122500000,39.15
246,-0.0424,-0.3011,-0.0813,123000000,39.2
247,-0.0987,-0.2937,0.0078,123500000,39.21
248,-0.0673,-0.3638,0.1532,124000000,39.25
249,-0.0392,-0.374,0.1849,124500000,39.82
250,-0.0415,-0.328,0.139,125000000,13.75
251,-0.1623,-0.3003,0.0304,143000000,25.86
252,-0.2212,-0.2765,-0.0201,143500000,42.41
253,-0.261,-0.2523,-0.0318,144000000,42.28
254,-0.2517,-0.2942,0.0336,144500000,42.26
255,-0.216,-0.3497,0.1094,145000000,42.88
256,-0.1374,-0.3686,0.2052,145500000,43.35
257,-0.117,-0.3652,0.2497,146000000,41.93
258,-0.1689,-0.3868,0.2037,146500000,41.59
259,-0.2679,-0.3706,0.1144,147000000,40.16
260,-0.3339,-0.3228,0.0522,147500000,42.11
261,-0.3813,-0.2786,0.0084,148000000,42.59
262,-0.3912,-0.2267,-0.0337,148500000,40.5
263,-0.3957,-0.1972,-0.0192,149000000,40.99
264,-0.3434,-0.2218,0.0497,149500000,43.32
265,-0.2751,-0.3044,0.1612,150000000,43.1
266,-0.1726,-0.3828,0.2728,150500000,44.28
267,-0.1145,-0.4106,0.3179,151000000,46.45
268,-0.0953,-0.4511,0.3301,151500000,45.04
269,-0.0859,-0.4272,0.3503,152000000,41.47
270,-0.1163,-0.479,0.3385,152500000,41.56
271,-0.15,-0.5031,0.316,153000000,42.49
272,-0.2021,-0.4853,0.2924,153500000,48.31
273,-0.2061,-0.4309,0.3206,154000000,45.45
274,-0.2737,-0.3968,0.2678,154500000,47.83
275,-0.3314,-0.3658,0.262,155000000,49.4
276,-0.3508,-0.4031,0.2972,155500000,45.27
277,-0.328,-0.4408,0.3376,156000000,50.36
278,-0.3021,-0.4893,0.3855,156500000,50.9
279,-0.2541,-0.4642,0.4078,157000000,43.67
280,-0.2301,-0.4962,0.3977,157500000,40.56
281,-0.2733,-0.5199,0.4157,158000000,41.17
282,-0.2387,-0.5035,0.4361,158500000,37.2
283,-0.2415,-0.5202,0.4722,159000000,39.15
284,-0.2005,-0.4678,0.4735,159500000,42.83
285,-0.1845,-0.5,0.5003,160000000,45.28
286,-0.1765,-0.5402,0.5182,160500000,42.57
